"","fy","us_aal","us_mva","us_ual","us_funded_ratio"
"1",2001,1863232995690,1839830090160,23402905529.9997,0.987439624789742
"2",2002,2010814007740,1680564321800,330249685940,0.835763186118255
"3",2003,2143523119220,1732529857970,410993261250,0.808262734577104
"4",2004,2276756132220,1966730768700,310025363520,0.863830227957834
"5",2005,2425239647720,2127881076100,297358571620,0.877390025394171
"6",2006,2584807143650,2324084501790,260722641859.999,0.899132651927047
"7",2007,2771154178490,2650140759960,121013418530,0.956331040882056
"8",2008,2934939086380,2404993462730,529945623650,0.81943556303799
"9",2009,3085821577709,1959950234690,1125871343019,0.635146973126399
"10",2010,3222701295490,2159453170040,1063248125450,0.670075496311756
"11",2011,3357090538490,2450800358400,906290180090.001,0.730037015773294
"12",2012,3478023016333.07,2454884045870,1023138970463.07,0.705827429646575
"13",2013,3619531313481,2669990960380,949540353101,0.737662069792179
"14",2014,3801421377502,2987517884260,813903493242.001,0.785894955487193
"15",2015,3987547077599,2989092555140,998454522459,0.749606837730379
"16",2016,4207653421998,2959118940190,1248534481808,0.703270598457433
"17",2017,4405575127899,3240754263550,1164820864349,0.735602996082716
"18",2018,4596174860501,3375894888330,1220279972171,0.734500968912661
"19",2019,4785784897602,3538091900550,1247692997052,0.739291877142832
"20",2020,4968482243047.38,3603133967262.73,1365348275784.65,0.725198117051693
"21",2021,5231305312807.49,4416275314368.62,815029998438.868,0.844201408691731
"22",2022,5411084808382.13,4039104766354.34,1371980042027.79,0.746450094461188
